time,image,author,country,language,citation
1945,upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Gabriela_Mistral-01_cropped.jpg/75px-Gabriela_Mistral-01_cropped.jpg,Gabriela Mistral,Chile,Spanish,"for her lyric poetry, which inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world"
1946,upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Hermann_Hesse_1946.jpg/75px-Hermann_Hesse_1946.jpg,Hermann Hesse,Switzerland,German,"for his inspired writings, which while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style"
1947,upload.wikimedia.org/wikipedia/commons/thumb/4/42/Andr%C3%A9_Gide.jpg/75px-Andr%C3%A9_Gide.jpg,André Gide,France,French,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight"
1948,upload.wikimedia.org/wikipedia/commons/thumb/2/26/Thomas_Stearns_Eliot_by_Lady_Ottoline_Morrell_%281934%29.jpg/75px-Thomas_Stearns_Eliot_by_Lady_Ottoline_Morrell_%281934%29.jpg,T. S. Eliot,United Kingdom,English,"for his outstanding, pioneer contribution to present-day poetry"
1949,upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Carl_Van_Vechten_-_William_Faulkner.jpg/75px-Carl_Van_Vechten_-_William_Faulkner.jpg,William Faulkner,United States,English,for his powerful and artistically unique contribution to the modern American novel
1950,upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Bertrand_Russell_transparent_bg.png/75px-Bertrand_Russell_transparent_bg.png,Bertrand Russell,United Kingdom,English,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought
1951,upload.wikimedia.org/wikipedia/commons/thumb/0/04/Lagerkvist.jpg/75px-Lagerkvist.jpg,Pär Lagerkvist,Sweden,Swedish,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
1952,upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Fran%C3%A7ois_Mauriac_%281932%29.jpg/75px-Fran%C3%A7ois_Mauriac_%281932%29.jpg,François Mauriac,France,French,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
1953,upload.wikimedia.org/wikipedia/commons/thumb/3/35/Churchill_portrait_NYP_45063.jpg/75px-Churchill_portrait_NYP_45063.jpg,Winston Churchill,United Kingdom,English,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
1954,upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/75px-ErnestHemingway.jpg,Ernest Hemingway,United States,English,"for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style"
1955,upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Halld%C3%B3r_Kiljan_Laxness_1955.jpg/75px-Halld%C3%B3r_Kiljan_Laxness_1955.jpg,Halldór Laxness,Iceland,Icelandic,"for his vivid epic power, which has renewed the great narrative art of Iceland"
1956,upload.wikimedia.org/wikipedia/commons/thumb/1/16/JRJimenez.JPG/75px-JRJimenez.JPG,Juan Ramón Jiménez,Spain,Spanish,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity"
1957,upload.wikimedia.org/wikipedia/commons/thumb/0/08/Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg/75px-Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg,Albert Camus,France,French,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times"
1958,upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Boris_Pasternak_in_youth.jpg/75px-Boris_Pasternak_in_youth.jpg,Boris Pasternak,Soviet Union,Russian,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
1959,upload.wikimedia.org/wikipedia/commons/thumb/7/74/Salvatore_Quasimodo_1959.jpg/75px-Salvatore_Quasimodo_1959.jpg,Salvatore Quasimodo,Italy,Italian,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"
1960,upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint-John_Perse_1960.jpg/75px-Saint-John_Perse_1960.jpg,Saint-John Perse,France,French,"for the soaring flight and the evocative imagery of his poetry, which in a visionary fashion reflects the conditions of our time"
1961,upload.wikimedia.org/wikipedia/commons/thumb/7/75/S._Kragujevic%2C_Ivo_Andric%2C_1961.jpg/75px-S._Kragujevic%2C_Ivo_Andric%2C_1961.jpg,Ivo Andrić,Yugoslavia,Serbo-Croatian,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
1962,upload.wikimedia.org/wikipedia/commons/thumb/b/b5/JohnSteinbeck_crop.JPG/75px-JohnSteinbeck_crop.JPG,John Steinbeck,United States,English,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"
1963,upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Giorgos_Seferis_1963.jpg/75px-Giorgos_Seferis_1963.jpg,Giorgos Seferis,Greece,Greek,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"
1964,upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Jean-Paul_Sartre_FP.JPG/75px-Jean-Paul_Sartre_FP.JPG,Jean-Paul Sartre,France,French,"for his work, which rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"
1965,,Mikhail Sholokhov,Soviet Union,Russian,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"
1966,upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Agnon.jpg/75px-Agnon.jpg,Shmuel Yosef Agnon,Israel,Hebrew,for his profoundly characteristic narrative art with motifs from the life of the Jewish people
1966,upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Nelly_Sachs_1966.jpg/75px-Nelly_Sachs_1966.jpg,Nelly Sachs,Sweden,German,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"
1967,upload.wikimedia.org/wikipedia/commons/thumb/3/31/MiguelAngelAsturias.JPG/75px-MiguelAngelAsturias.JPG,Miguel Ángel Asturias,Guatemala,Spanish,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"
1968,upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Yasunari_Kawabata_1938.jpg/75px-Yasunari_Kawabata_1938.jpg,Yasunari Kawabata,Japan,Japanese,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"
1969,upload.wikimedia.org/wikipedia/commons/thumb/3/37/Samuel_Beckett%2C_f11.jpg/75px-Samuel_Beckett%2C_f11.jpg,Samuel Beckett,Ireland,English,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"
1970,upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Aleksandr_Solzhenitsyn_1974crop.jpg/75px-Aleksandr_Solzhenitsyn_1974crop.jpg,Aleksandr Solzhenitsyn,Soviet Union,Russian,for the ethical force with which he has pursued the indispensable traditions of Russian literature
1971,upload.wikimedia.org/wikipedia/commons/thumb/0/04/Pablo_Neruda.jpg/75px-Pablo_Neruda.jpg,Pablo Neruda,Chile,Spanish,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
1972,upload.wikimedia.org/wikipedia/commons/thumb/1/12/Bundesarchiv_B_145_Bild-F062164-0004%2C_Bonn%2C_Heinrich_B%C3%B6ll.jpg/75px-Bundesarchiv_B_145_Bild-F062164-0004%2C_Bonn%2C_Heinrich_B%C3%B6ll.jpg,Heinrich Böll,West Germany,German,"for his writing, which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"
1973,upload.wikimedia.org/wikipedia/commons/thumb/2/20/Patrick_White_1973.jpg/75px-Patrick_White_1973.jpg,Patrick White,Australia,English,"for an epic and psychological narrative art, which has introduced a new continent into literature"
1974,upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Eyvind.JPG/75px-Eyvind.JPG,Eyvind Johnson,Sweden,Swedish,"for a narrative art, farseeing in lands and ages, in the service of freedom"
1974,upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Harry_Martinson.jpg/75px-Harry_Martinson.jpg,Harry Martinson,Sweden,Swedish,for writings that catch the dewdrop and reflect the cosmos
1975,upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Eugenio_Montale.jpg/75px-Eugenio_Montale.jpg,Eugenio Montale,Italy,Italian,"for his distinctive poetry, which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions"
1976,upload.wikimedia.org/wikipedia/commons/thumb/4/49/Saul_Bellow.jpg/75px-Saul_Bellow.jpg,Saul Bellow,United States,English,for the human understanding and subtle analysis of contemporary culture that are combined in his work
1977,upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Vicentealeixandre.jpg/75px-Vicentealeixandre.jpg,Vicente Aleixandre,Spain,Spanish,"for a creative poetic writing, which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars"
1978,upload.wikimedia.org/wikipedia/commons/thumb/1/18/Isaac_Bashevis_Singer_%28upright%29.jpg/75px-Isaac_Bashevis_Singer_%28upright%29.jpg,Isaac Bashevis Singer,United States,Yiddish,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life"
1979,upload.wikimedia.org/wikipedia/commons/thumb/6/69/Odysseas_Elytis_1974.jpg/75px-Odysseas_Elytis_1974.jpg,Odysseas Elytis,Greece,Greek,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness"
1980,upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Czeslaw_Milosz_3_ap.tif/lossy-page1-75px-Czeslaw_Milosz_3_ap.tif.jpg,Czesław Miłosz,Poland,Polish,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts
1981,upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Elias_Canetti_2.jpg/75px-Elias_Canetti_2.jpg,Elias Canetti,United Kingdom,German,"for writings marked by a broad outlook, a wealth of ideas and artistic power"
1982,upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Gabriel_Garcia_Marquez.jpg/75px-Gabriel_Garcia_Marquez.jpg,Gabriel García Márquez,Colombia,Spanish,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts"
1983,upload.wikimedia.org/wikipedia/commons/thumb/f/f9/William_Golding_1983.jpg/75px-William_Golding_1983.jpg,William Golding,United Kingdom,English,"for his novels, which with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
1984,upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Jaroslav_Seifert_1981_foto_Hana_Hamplov%C3%A1_crop.jpg/75px-Jaroslav_Seifert_1981_foto_Hana_Hamplov%C3%A1_crop.jpg,Jaroslav Seifert,Czechoslovakia,Czech,"for his poetry, which endowed with freshness, and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
1985,upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Claude_Simon_1967.jpg/75px-Claude_Simon_1967.jpg,Claude Simon,France,French,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition
1986,upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Soyinka%2C_Wole_%281934%29.jpg/75px-Soyinka%2C_Wole_%281934%29.jpg,Wole Soyinka,Nigeria,English,who in a wide cultural perspective and with poetic overtones fashions the drama of existence
1987,upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Joseph_Brodsky_1988.jpg/75px-Joseph_Brodsky_1988.jpg,Joseph Brodsky,United States,Russian,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
1988,upload.wikimedia.org/wikipedia/commons/thumb/b/be/Necip_Mahfuz.jpg/75px-Necip_Mahfuz.jpg,Naguib Mahfouz,Egypt,Arabic,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind"
1989,upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Camilo_Jos%C3%A9_Cela_Madrid_1996.jpg/75px-Camilo_Jos%C3%A9_Cela_Madrid_1996.jpg,Camilo José Cela,Spain,Spanish,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
1990,upload.wikimedia.org/wikipedia/commons/thumb/9/98/Octavio_Paz_-_1988_Malm%C3%B6.jpg/75px-Octavio_Paz_-_1988_Malm%C3%B6.jpg,Octavio Paz,Mexico,Spanish,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
1991,upload.wikimedia.org/wikipedia/commons/thumb/3/37/Nadine_Gordimer_01.JPG/75px-Nadine_Gordimer_01.JPG,Nadine Gordimer,South Africa,English,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
1992,upload.wikimedia.org/wikipedia/commons/thumb/a/af/Derek_Walcott.jpg/75px-Derek_Walcott.jpg,Derek Walcott,Saint Lucia,English,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
1993,upload.wikimedia.org/wikipedia/commons/thumb/0/04/Toni_Morrison_2008-2.jpg/75px-Toni_Morrison_2008-2.jpg,Toni Morrison,United States,English,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
1994,upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Oe_Kenzaburo_1-2.jpg/75px-Oe_Kenzaburo_1-2.jpg,Kenzaburō Ōe,Japan,Japanese,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"
1995,upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Seamus_Heaney_Photograph_Edit.jpg/75px-Seamus_Heaney_Photograph_Edit.jpg,Seamus Heaney,Ireland,English,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
1996,upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Szymborska_2011_%281%29.jpg/75px-Szymborska_2011_%281%29.jpg,Wisława Szymborska,Poland,Polish,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
1997,upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Dario_Fo-Cesena.jpg/75px-Dario_Fo-Cesena.jpg,Dario Fo,Italy,Italian,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
1998,upload.wikimedia.org/wikipedia/commons/thumb/5/5c/JSJoseSaramago.jpg/75px-JSJoseSaramago.jpg,José Saramago,Portugal,Portuguese,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"
1999,upload.wikimedia.org/wikipedia/commons/thumb/6/60/G%C3%BCnter_Grass_auf_dem_Blauen_Sofa.jpg/75px-G%C3%BCnter_Grass_auf_dem_Blauen_Sofa.jpg,Günter Grass,Germany,German,whose frolicsome black fables portray the forgotten face of history
2000,upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Gao_Xingjian.jpg/75px-Gao_Xingjian.jpg,Gao Xingjian,France,Chinese,"for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
2001,upload.wikimedia.org/wikipedia/commons/thumb/a/ae/VS_Naipaul_2016_Dhaka.jpg/75px-VS_Naipaul_2016_Dhaka.jpg,V. S. Naipaul,United Kingdom,English,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
2002,upload.wikimedia.org/wikipedia/commons/thumb/8/86/Imre_Kert%C3%A9sz_%281929-%29_Hungarian_writer_II._by_Csaba_Segesv%C3%A1ri.JPG/75px-Imre_Kert%C3%A9sz_%281929-%29_Hungarian_writer_II._by_Csaba_Segesv%C3%A1ri.JPG,Imre Kertész,Hungary,Hungarian,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
2003,upload.wikimedia.org/wikipedia/commons/thumb/6/6e/J.M._Coetzee.JPG/75px-J.M._Coetzee.JPG,J. M. Coetzee,Australia,English,who in innumerable guises portrays the surprising involvement of the outsider
2004,upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Elfriede_jelinek_2004_small.jpg/75px-Elfriede_jelinek_2004_small.jpg,Elfriede Jelinek,Austria,German,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power
2005,upload.wikimedia.org/wikipedia/commons/thumb/8/83/Pinterfoto_cropped2.jpg/75px-Pinterfoto_cropped2.jpg,Harold Pinter,United Kingdom,English,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
2006,upload.wikimedia.org/wikipedia/commons/thumb/9/93/Orhan_Pamuk_2009_Shankbone.jpg/75px-Orhan_Pamuk_2009_Shankbone.jpg,Orhan Pamuk,Turkey,Turkish,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
2007,upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Doris_lessing_20060312_%28square%29.jpg/75px-Doris_lessing_20060312_%28square%29.jpg,Doris Lessing,United Kingdom,English,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
2008,upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Jean-Marie_Gustave_Le_Cl%C3%A9zio-press_conference_Dec_06th%2C_2008-2.jpg/75px-Jean-Marie_Gustave_Le_Cl%C3%A9zio-press_conference_Dec_06th%2C_2008-2.jpg,J. M. G. Le Clézio,France,French,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
2009,upload.wikimedia.org/wikipedia/commons/thumb/3/37/Herta_M%C3%BCller_1.jpg/75px-Herta_M%C3%BCller_1.jpg,Herta Müller,Germany,German,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
2010,upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Vargas_Llosa_Madrid_2012.jpg/75px-Vargas_Llosa_Madrid_2012.jpg,Mario Vargas Llosa,Peru,Spanish,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"
2011,upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Transtroemer.jpg/75px-Transtroemer.jpg,Tomas Tranströmer,Sweden,Swedish,"because, through his condensed, translucent images, he gives us fresh access to reality"
2012,upload.wikimedia.org/wikipedia/commons/thumb/8/81/MoYan_Hamburg_2008.jpg/75px-MoYan_Hamburg_2008.jpg,Mo Yan,China,Chinese,"who with hallucinatory realism merges folk tales, history and the contemporary"
2013,upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Alice_Munro.jpg/75px-Alice_Munro.jpg,Alice Munro,Canada,English,master of the contemporary short story
2014,upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Patrick_Modiano_6_dec_2014_-_22.jpg/75px-Patrick_Modiano_6_dec_2014_-_22.jpg,Patrick Modiano,France,French,for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation
2015,upload.wikimedia.org/wikipedia/commons/thumb/8/80/Swetlana_Alexijewitsch_2013.jpg/75px-Swetlana_Alexijewitsch_2013.jpg,Svetlana Alexievich,Belarus,Russian,"for her polyphonic writings, a monument to suffering and courage in our time"
2016,upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bob_Dylan_-_Azkena_Rock_Festival_2010_2.jpg/75px-Bob_Dylan_-_Azkena_Rock_Festival_2010_2.jpg,Bob Dylan,United States,English,for having created new poetic expressions within the great American song tradition
2017,upload.wikimedia.org/wikipedia/commons/thumb/8/81/Kazuo_Ishiguro_in_Stockholm_2017_02.jpg/75px-Kazuo_Ishiguro_in_Stockholm_2017_02.jpg,Kazuo Ishiguro,United Kingdom,English,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world"
2018,upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Olga_Tokarczuk_%282018%29.jpg/75px-Olga_Tokarczuk_%282018%29.jpg,Olga Tokarczuk,Poland,Polish,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life
2019,upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Peter-handke.jpg/75px-Peter-handke.jpg,Peter Handke,Austria,German,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience.
